CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
0.093876,3,18,6,0.050607,0.093969,75,67,9,4,4,176,15,31,36,24,78,1,0.474537,615,546,36,0,0.481077,661,2,2,2,2,1,681,1407,14,9,14,9,54,0,35,6,54,356,0,35,6,713,1482,17,9,17,9,58,0,37,6,58,370,0,37,6,1
0,0,0,0,0,0,0,0,1,2,2,65,4,10,33,7,27,1,0.411765,133,125,18,0,0.411765,133,0,0,2,2,0,190,336,6,5,6,5,20,0,17,6,20,81,0,17,6,190,336,6,5,6,5,20,0,17,6,20,81,0,17,6,0
0,0,0,0,0,0,0,0,0,0,0,11,4,26,57,3,14,1,0.696429,117,117,12,0,0.696429,117,0,0,0,0,0,51,172,6,6,6,6,11,0,11,2,11,21,0,11,2,51,172,6,6,6,6,11,0,11,2,11,21,0,11,2,0
0,0,0,0,0,0,0,0,1,1,1,17,1,590,928,1,16,1,0.611765,104,104,16,0,0.611765,104,0,0,3,3,0,66,184,2,3,2,3,15,0,15,1,15,28,0,15,1,66,184,2,3,2,3,15,0,15,1,15,28,0,15,1,0
0,0,0,0,0,0,0,0,0,0,0,7,1,20,7,0,7,1,0.883117,68,68,8,0,0.883117,68,0,0,16,30,0,9,76,0,0,0,0,7,0,7,0,7,0,0,7,0,9,76,0,0,0,0,7,0,7,0,7,0,0,7,0,1
0,0,0,0,0,0,0,0,0,0,0,4,1,5,1,0,4,1,0.869565,40,40,5,0,0.869565,40,1,1,4,11,1,6,42,0,0,0,0,4,0,4,4,11,0,0,11,4,6,42,0,0,0,0,4,0,4,4,11,0,0,11,4,0
0,0,0,0,0,0,0,0,2,3,3,113,18,13,24,46,84,1,0.386364,340,312,27,0,0.372826,343,0,0,0,0,0,540,925,16,15,16,15,38,1,26,2,38,329,1,26,2,577,970,17,18,17,18,46,1,29,2,46,345,1,29,2,0
0,0,0,0,0,0,0,0,4,6,6,34,8,11,14,9,26,1,0.501818,138,135,13,0,0.501818,138,2,2,7,7,1,137,298,7,2,7,2,17,1,12,4,17,69,1,12,4,137,298,7,2,7,2,17,1,12,4,17,69,1,12,4,1
0,0,0,0,0,0,0,0,1,1,1,4,1,1,1,1,4,1,0.636364,28,28,4,0,0.636364,28,0,0,0,0,0,16,43,1,0,1,0,3,0,3,0,3,6,0,3,0,16,43,1,0,1,0,3,0,3,0,3,6,0,3,0,0
0,0,0,0,0,0,0,0,1,2,2,25,2,2,2,2,12,1,0.481283,90,84,6,0,0.5,101,0,0,0,0,0,97,204,7,1,7,1,10,0,5,0,10,56,0,5,0,101,216,9,1,9,1,10,0,5,0,10,56,0,5,0,0
0,0,0,0,0,0,0,0,1,4,4,75,10,2,3,9,39,1,0.289617,159,145,6,0,0.288043,159,0,0,0,0,0,390,598,8,8,8,8,30,0,5,0,30,236,0,5,0,393,601,8,8,8,8,31,0,6,0,31,237,0,6,0,1
0.068608,2,16,4,0.031969,0.064953,50,48,6,7,7,215,10,64,145,20,82,1,0.516993,791,758,32,0,0.516993,791,1,3,3,5,3,739,1564,34,14,34,14,62,0,31,7,62,416,0,31,7,739,1564,34,14,34,14,62,0,31,7,62,416,0,31,7,1
