CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,2,0.5,0.5,5,5,1,1,0.5,5,1,1,0,0,1,5,6,0,0,0,0,1,0,1,0,5,1,0,5,0,5,6,0,0,0,0,1,0,1,0,5,1,0,5,0,false
0,0,0,0,0,0,0,0,0,0,0,1,0,64,36,0,1,1,0.785714,11,11,2,0,0.785714,11,0,0,21,21,0,3,12,0,0,0,0,1,0,1,0,1,0,0,1,0,3,12,0,0,0,0,1,0,1,0,1,0,0,1,0,true
0,0,0,0,0,0,0,0,0,0,0,1,3,35,24,0,1,1,0.875,21,21,2,0,0.875,21,1,1,20,32,1,3,17,0,0,0,0,1,0,1,0,2,0,0,2,0,3,17,0,0,0,0,1,0,1,0,2,0,0,2,0,true
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0.555556,5,5,1,0,0.555556,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,35,18,414,337,0,35,1,0.850746,228,228,36,0,0.850746,228,1,1,1,3,1,40,303,0,18,0,18,35,0,35,3,37,0,0,37,3,40,303,0,18,0,18,35,0,35,3,37,0,0,37,3,true
0,0,0,0,0,0,0,0,0,0,0,1,1,12,1,0,1,1,0.785714,11,11,2,0,0.785714,11,0,0,11,66,0,3,9,0,0,0,0,1,0,1,1,1,0,0,1,1,3,9,0,0,0,0,1,0,1,1,1,0,0,1,1,true
0,0,0,0,0,0,0,0,0,0,0,4,0,24,24,0,4,0.2,0.277778,5,5,1,4,0.277778,5,0,0,4,14,0,13,17,0,0,0,0,4,0,4,0,4,3,0,4,0,13,17,0,0,0,0,4,0,4,0,4,3,0,4,0,false
0,0,0,0,0,0,0,0,1,0,0,4,2,15,16,2,6,0.5,0.307692,8,8,2,2,0.307692,8,1,1,8,10,1,18,25,2,1,2,1,4,0,3,0,8,6,0,7,0,18,25,2,1,2,1,4,0,3,0,8,6,0,7,0,true
0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,4,0.333333,0.470588,8,8,1,2,0.470588,8,3,4,0,0,1,9,11,12,7,0,0,2,0,2,0,67,2,0,52,3,9,11,12,7,0,0,2,0,2,0,67,2,0,52,3,false
0,0,0,0,0,0,0,0,0,0,0,3,3,25,4,0,3,1,0.821429,23,23,4,0,0.821429,23,0,0,1,57,0,5,26,0,1,0,1,3,0,3,1,3,0,0,3,1,5,26,0,1,0,1,3,0,3,1,3,0,0,3,1,false
0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,2,1,0.647059,11,11,1,0,0.647059,11,0,0,0,0,0,6,7,0,0,0,0,2,0,0,0,2,0,0,0,0,6,7,0,0,0,0,2,0,0,0,2,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,1,0.714286,5,5,1,0,0.714286,5,1,1,4,43,1,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,2,0,false
0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0.666667,8,8,1,0,0.666667,8,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,14,7,229,139,0,14,0.733333,0.816327,80,80,11,4,0.816327,80,0,0,3,54,0,18,102,0,3,0,3,14,0,14,2,14,0,0,14,2,18,102,0,3,0,3,14,0,14,2,14,0,0,14,2,true
0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,2,1,0.666667,12,12,1,0,0.666667,12,0,0,0,0,0,6,6,0,0,0,0,2,0,0,0,2,0,0,0,0,6,6,0,0,0,0,2,0,0,0,2,0,0,0,0,true
0,0,0,0,0,0,0,0,0,0,0,26,4,1133,701,0,26,1,0.827778,149,149,27,0,0.827778,149,0,0,1,17,0,31,202,3,13,3,13,26,3,26,7,26,0,3,26,7,31,202,3,13,3,13,26,3,26,7,26,0,3,26,7,true
0,0,0,0,0,0,0,0,3,1,1,21,0,106,17,0,6,0.857143,0.212766,20,20,6,1,0.212766,20,0,0,0,0,0,74,97,9,1,9,1,6,8,6,0,6,23,8,6,0,74,97,9,1,9,1,6,8,6,0,6,23,8,6,0,false
0,0,0,0,0,0,0,0,1,1,1,18,2,4,8,4,18,0.066667,0.3,33,33,1,14,0.3,33,0,0,0,0,0,77,96,6,1,6,1,14,0,14,0,14,33,0,14,0,77,96,6,1,6,1,14,0,14,0,14,33,0,14,0,true
0,0,0,0,0,0,0,0,0,0,0,2,2,5,3,1,3,0.666667,0.444444,8,8,2,1,0.444444,8,2,2,0,0,1,10,15,3,2,1,1,2,0,2,0,10,3,0,9,0,10,15,3,2,1,1,2,0,2,0,10,3,0,9,0,false
0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,6,0.25,0.238095,5,5,1,3,0.238095,5,1,1,0,0,1,16,19,3,2,2,2,3,0,3,0,7,5,0,7,0,16,19,3,2,2,2,3,0,3,0,7,5,0,7,0,true
0,0,0,0,0,0,0,0,0,0,0,1,1,159,56,0,1,1,0.85,17,17,2,0,0.85,17,0,0,49,80,0,3,10,0,0,0,0,1,0,1,0,1,0,0,1,0,3,10,0,0,0,0,1,0,1,0,1,0,0,1,0,false
0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,3,0.333333,0.333333,5,5,1,2,0.333333,5,1,1,0,0,1,10,12,2,1,1,1,2,0,2,0,6,3,0,6,0,10,12,2,1,1,1,2,0,2,0,6,3,0,6,0,true
0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1,1,0.545455,6,6,1,0,0.545455,6,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,2,1,11,3,0,2,0.333333,0.636364,7,7,1,2,0.636364,7,0,0,9,11,0,4,6,0,1,0,1,2,0,2,1,2,0,0,2,1,4,6,0,1,0,1,2,0,2,1,2,0,0,2,1,false
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0.6,6,6,1,0,0.6,6,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0.791667,19,19,1,0,0.791667,19,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.782609,18,18,1,0,0.782609,18,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,2,0.333333,0.555556,5,5,1,2,0.555556,5,0,0,1,1,0,4,6,0,1,0,1,2,0,2,1,2,0,0,2,1,4,6,0,1,0,1,2,0,2,1,2,0,0,2,1,false
0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,2,6,0.5,0.259259,7,7,2,2,0.259259,7,1,1,0,0,1,20,28,3,1,2,1,4,0,3,0,8,6,0,7,0,20,28,3,1,2,1,4,0,3,0,8,6,0,7,0,false
0,0,0,0,0,0,0,0,0,0,0,3,4,10,4,4,7,0.5,0.363636,8,8,2,2,0.363636,8,2,2,0,0,1,14,20,3,2,1,1,3,0,3,0,11,4,0,10,0,14,20,3,2,1,1,3,0,3,0,11,4,0,10,0,true
0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,6,0.666667,0.421053,8,8,2,1,0.421053,8,2,2,0,0,1,11,16,4,2,1,1,2,0,2,0,9,3,0,9,0,11,16,4,2,1,1,2,0,2,0,9,3,0,9,0,true
0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,5,0.75,0.407407,11,11,3,1,0.407407,11,2,2,0,0,1,16,25,4,3,2,2,3,0,3,0,11,5,0,10,0,16,25,4,3,2,2,3,0,3,0,11,5,0,10,0,false
0,0,0,0,0,0,0,0,0,0,0,22,1,509,603,0,22,1,0.830986,118,118,23,0,0.830986,118,0,0,1,15,0,24,157,0,10,0,10,22,0,22,6,22,0,0,22,6,24,157,0,10,0,10,22,0,22,6,22,0,0,22,6,true
0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,2,1,0.625,10,10,1,0,0.625,10,0,0,0,0,0,6,7,0,0,0,0,2,0,0,0,2,0,0,0,0,6,7,0,0,0,0,2,0,0,0,2,0,0,0,0,false
