CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,bug
0,0,0,0,0,0,0,0,13,0,0,13,2,0,0,1,14,1,0.662651,110,110,14,0,0.662651,110,1,1,0,0,1,56,151,0,0,0,0,13,0,13,0,13,2,0,13,0,56,151,0,0,0,0,13,0,13,0,13,2,0,13,0,false
0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,5,1,0.558824,38,38,6,0,0.558824,38,0,0,0,0,0,30,63,4,4,4,4,5,0,5,0,5,8,0,5,0,30,63,4,4,4,4,5,0,5,0,5,8,0,5,0,false
0,0,0,0,0,0,0,0,0,0,0,13,0,2,11,0,13,1,0.866029,181,181,14,0,0.866029,181,0,0,1,1,0,28,217,0,0,0,0,13,0,13,0,13,0,0,13,0,28,217,0,0,0,0,13,0,13,0,13,0,0,13,0,false
0.02011,2,30,4,0.013838,0.025381,60,60,1,9,5,558,1,0,0,13,130,1,0.384276,1481,1226,28,0,0.384276,1481,0,0,0,0,0,2373,4336,92,19,92,19,117,25,27,8,117,1300,25,27,8,2373,4336,92,19,92,19,117,25,27,8,117,1300,25,27,8,false
0,0,0,0,0,0,0,0,1,6,5,60,13,4,5,26,43,1,0.24714,108,90,10,0,0.239382,124,0,0,0,0,0,329,477,8,3,8,3,17,1,9,3,17,167,1,9,3,394,557,12,3,12,3,18,1,9,3,18,203,1,9,3,false
0.171642,1,2,2,0.062147,0.104712,22,20,2,2,2,29,2,25,42,1,18,1,0.479675,177,171,15,0,0.479675,177,1,1,24,25,1,192,354,4,2,4,2,17,0,14,0,17,116,0,14,0,192,354,4,2,4,2,17,0,14,0,17,116,0,14,0,false
0,0,0,0,0,0,0,0,0,0,0,2,3,13,8,2,4,1,0.704545,31,30,3,0,0.704545,31,1,1,2,2,1,13,32,4,6,0,2,2,0,2,0,9,2,0,9,0,13,32,4,6,0,2,2,0,2,0,9,2,0,9,0,false
0.061125,2,4,2,0.076433,0.10084,12,12,2,4,2,24,4,1,1,4,14,1,0.198675,30,27,7,0,0.198675,30,0,0,0,0,0,121,157,9,0,9,0,10,0,6,0,10,48,0,6,0,121,157,9,0,9,0,10,0,6,0,10,48,0,6,0,false
0.276364,1,4,1,0.098958,0.165049,19,17,3,3,2,22,8,9,13,9,24,1,0.655629,198,195,13,0,0.655629,198,2,2,0,0,1,104,192,7,13,2,7,15,0,12,1,30,35,0,26,1,104,192,7,13,2,7,15,0,12,1,30,35,0,26,1,false
0,0,0,0,0,0,0,0,2,2,2,14,4,1,2,10,14,1,0.324324,24,12,4,0,0.324324,24,0,0,0,0,0,50,75,1,0,1,0,4,0,3,1,4,26,0,3,1,50,75,1,0,1,0,4,0,3,1,4,26,0,3,1,false
0.073171,1,4,2,0.045028,0.081784,24,22,2,3,3,38,17,15,24,35,54,1,0.523077,238,236,18,0,0.470019,243,0,0,0,0,0,217,471,2,1,2,1,19,0,17,0,19,77,0,17,0,274,533,6,2,2,1,24,0,17,0,36,106,0,24,0,false
0.130178,1,3,1,0.149068,0.141593,24,16,1,2,2,13,10,1,1,12,19,1,0.322835,41,33,8,0,0.275,44,2,2,0,0,1,86,128,7,6,5,1,7,0,7,0,24,30,0,22,1,116,161,10,7,8,2,10,0,10,0,27,41,0,25,1,false
0,0,0,0,0,0,0,0,1,3,3,33,12,4,18,15,30,1,0.381818,105,97,8,0,0.381818,105,0,0,2,2,0,170,279,4,1,4,1,15,0,7,0,15,71,0,7,0,170,279,4,1,4,1,15,0,7,0,15,71,0,7,0,false
0.060592,3,13,5,0.045411,0.066826,94,84,6,6,6,263,39,95,102,120,199,1,0.345405,639,556,67,0,0.338144,656,1,1,0,0,1,1211,1975,59,65,34,26,79,12,66,10,198,603,16,163,25,1284,2070,62,69,34,27,85,12,72,10,218,636,16,180,26,false
